Inspection ID;Inspection Group;Inspection Name;Inspection Language;Inspection Type;Absolute Time spent on Inspection, s;Percent of Time spent on Inspection;Problems Count;Times Inspection was Performed
InvalidBundleOrProperty;Kotlin;Invalid property key;none;LOCAL;1.37;17.60%;0;11
InjectedReferences;General;Injected references;none;LOCAL;0.79;10.18%;0;11
UnusedLambdaExpressionBody;Kotlin/Probable bugs;Unused return value of a function with lambda expression body;kotlin;LOCAL;0.64;8.26%;0;3
BlockingMethodInNonBlockingContext;JVM languages;Possibly blocking call in non-blocking context;UAST;LOCAL;0.61;7.78%;0;3
AssertBetweenInconvertibleTypes;JVM languages/Test frameworks;'assertEquals()' between objects of inconvertible types;UAST;LOCAL;0.58;7.47%;0;3
JavaCollectionsStaticMethodOnImmutableList;Kotlin/Java interop issues;Call of Java mutator method on immutable Kotlin collection;kotlin;LOCAL;0.54;6.95%;0;3
JavaCollectionsStaticMethod;Kotlin/Style issues;Java Collections static method call can be replaced with Kotlin stdlib;kotlin;LOCAL;0.51;6.57%;0;3
CheckDependencyLicenses;Dependency analysis;Check dependency licenses;;GLOBAL;0.50;6.45%;1;1
UnsafeCastFromDynamic;Kotlin/Probable bugs;Implicit (unsafe) cast from dynamic type;kotlin;LOCAL;0.34;4.41%;0;3
KotlinAnnotator;General;Kotlin annotator;none;LOCAL;0.30;3.84%;0;11
CallToThreadRun;JVM languages;Call to 'Thread.run()';UAST;LOCAL;0.29;3.78%;0;3
RedundantRequireNotNullCall;Kotlin/Redundant constructs;Redundant 'requireNotNull' or 'checkNotNull' call;kotlin;LOCAL;0.23;2.98%;0;3
UnusedImport;Kotlin/Redundant constructs;Unused import directive;kotlin;LOCAL;0.17;2.12%;0;3
UnstableApiUsage;JVM languages;Unstable API Usage;UAST;LOCAL;0.14;1.82%;0;2
DialogTitleCapitalization;Java/Internationalization;Incorrect string capitalization;UAST;LOCAL;0.12;1.57%;0;3
RedundantCompanionReference;Kotlin/Redundant constructs;Redundant 'Companion' reference;kotlin;LOCAL;0.10;1.24%;0;3
RemoveExplicitTypeArguments;Kotlin/Redundant constructs;Unnecessary type argument;kotlin;LOCAL;0.09;1.13%;0;3
ReplaceWithEnumMap;Kotlin/Other problems;'HashMap' can be replaced with 'EnumMap';kotlin;LOCAL;0.08;1.05%;0;3
TestFailedLine;JVM languages/Test frameworks;Failed line in test;UAST;LOCAL;0.07;0.92%;0;3
DeferredResultUnused;Kotlin/Probable bugs;'@Deferred' result is unused;kotlin;LOCAL;0.07;0.83%;0;3
UnstableTypeUsedInSignature;JVM languages;Unstable type is used in signature;UAST;LOCAL;0.05;0.61%;0;2
Dependency;JVM languages;Illegal package dependencies;UAST;LOCAL;0.04;0.52%;0;3
JavaAnnotator;General;Java annotator;none;LOCAL;0.03;0.39%;0;11
ConflictingExtensionProperty;Kotlin/Probable bugs;Extension property conflicting with synthetic one;kotlin;LOCAL;0.02;0.30%;0;3
TrailingComma;Kotlin/Style issues;Trailing comma recommendations;kotlin;LOCAL;0.02;0.24%;0;3
JUnitMalformedDeclaration;JVM languages/Test frameworks;JUnit malformed declaration;UAST;LOCAL;0.01;0.12%;0;3
